2026-03-26 16:56:56,411 - WARNING - 550973 | HH SSH000101 | Parents [35, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,411 - WARNING - 550973 | HH SSH000102 | Parents [30, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,411 - WARNING - 550973 | HH SSH000103 | Parents [30, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,411 - WARNING - 550973 | HH SSH000104 | Parents [30, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,411 - WARNING - 550973 | HH SSH000105 | Parents [30, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,411 - WARNING - 550973 | HH SSH000106 | Parents [30, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,411 - WARNING - 550973 | HH SSH000107 | Parents [29, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,411 - WARNING - 550973 | HH SSH000108 | Parents [29, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,411 - WARNING - 550973 | HH SSH000109 | Parents [29, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,415 - WARNING - 550973 | HH SSH000110 | Parents [28, 32] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,416 - WARNING - 550973 | HH SSH000111 | Parents [35, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,417 - WARNING - 550973 | HH SSH000112 | Parents [31, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,419 - WARNING - 550973 | HH SSH000113 | Parents [26, 34] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,421 - WARNING - 550973 | HH SSH000114 | Parents [27, 33] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,421 - WARNING - 550973 | HH SSH000115 | Parents [29, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,424 - WARNING - 550973 | HH SSH000116 | Parents [27, 33] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,424 - WARNING - 550973 | HH SSH000117 | Parents [28, 32] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,425 - WARNING - 550973 | HH SSH000118 | Parents [31, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,425 - WARNING - 550973 | HH SSH000119 | Parents [31, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,426 - WARNING - 550973 | HH SSH000120 | Parents [31, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,426 - WARNING - 550973 | HH SSH000121 | Parents [36, 25] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,427 - WARNING - 550973 | HH SSH000122 | Parents [31, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,427 - WARNING - 550973 | HH SSH000123 | Parents [31, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,428 - WARNING - 550973 | HH SSH000124 | Parents [25, 35] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,428 - WARNING - 550973 | HH SSH000125 | Parents [30, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,428 - WARNING - 550973 | HH SSH000126 | Parents [36, 25] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,428 - WARNING - 550973 | HH SSH000127 | Parents [34, 27] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,428 - WARNING - 550973 | HH SSH000128 | Parents [30, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,428 - WARNING - 550973 | HH SSH000129 | Parents [30, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,428 - WARNING - 550973 | HH SSH000130 | Parents [29, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,432 - WARNING - 550973 | HH SSH000131 | Parents [30, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,435 - WARNING - 550973 | HH SSH000132 | Parents [30, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,435 - WARNING - 550973 | HH SSH000133 | Parents [30, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,437 - WARNING - 550973 | HH SSH000134 | Parents [28, 33] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,437 - WARNING - 550973 | HH SSH000135 | Parents [27, 34] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,439 - WARNING - 550973 | HH SSH000136 | Parents [31, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,439 - WARNING - 550973 | HH SSH000137 | Parents [33, 29] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,440 - WARNING - 550973 | HH SSH000138 | Parents [25, 36] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
