"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Vrouwen";"75 tot 80 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1186
"Vrouwen";"75 tot 80 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1092
"Vrouwen";"80 tot 85 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3959
"Vrouwen";"80 tot 85 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";868
"Vrouwen";"80 tot 85 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";640
"Vrouwen";"85 tot 90 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2938
"Vrouwen";"85 tot 90 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";624
"Vrouwen";"85 tot 90 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";265
"Vrouwen";"90 tot 95 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1652
"Vrouwen";"90 tot 95 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";314
"Vrouwen";"90 tot 95 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";89
"Vrouwen";"95 jaar of ouder";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";612
"Vrouwen";"95 jaar of ouder";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";130
"Vrouwen";"95 jaar of ouder";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";16
