"Geslacht";"Leeftijd";"Geboorteland (ouders)";"Herkomstland";"Onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Mannen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";8
"Mannen";"65 tot 75 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";74
"Mannen";"65 tot 75 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";132
"Mannen";"65 tot 75 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";47
"Mannen";"65 tot 75 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";165
"Mannen";"65 tot 75 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";85
"Mannen";"65 tot 75 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";49
"Mannen";"65 tot 75 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";164
"Mannen";"65 tot 75 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";93
"Mannen";"65 tot 75 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";9
"Mannen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";4
"Mannen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";8
"Mannen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";3
"Mannen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";19
"Mannen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";3
"Mannen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";2
"Mannen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";12
"Mannen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";4
"Mannen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";1
"Mannen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";8
"Mannen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";4
"Mannen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";4
"Mannen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";6
"Mannen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";4
"Mannen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";8
"Mannen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";14
"Mannen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";7
"Mannen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";6
"Mannen";"75 jaar of ouder";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";58
"Mannen";"75 jaar of ouder";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";110
"Mannen";"75 jaar of ouder";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";34
"Mannen";"75 jaar of ouder";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";99
"Mannen";"75 jaar of ouder";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";39
"Mannen";"75 jaar of ouder";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";25
"Mannen";"75 jaar of ouder";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";74
"Mannen";"75 jaar of ouder";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";34
"Mannen";"75 jaar of ouder";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";8
"Mannen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";5
"Mannen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";5
"Mannen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";4
"Mannen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";10
"Mannen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";5
"Mannen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";1
"Mannen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";6
